job_title,job_description,skills,combined_text
sales consultant,"sales trainers develop and deliver training programs to sales teams. they teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives.",['communication'],"sales consultant sales trainers develop and deliver training programs to sales teams. they teach sales techniques, product knowledge, and communication skills to improve the performance and effectiveness of sales representatives."
marketing coordinator,"digital marketing coordinators manage online marketing efforts, including social media, email marketing, and seo, to drive digital engagement and growth.",['git'],"marketing coordinator digital marketing coordinators manage online marketing efforts, including social media, email marketing, and seo, to drive digital engagement and growth."
speech therapist,adult speech therapists work with adults to address speech and language disorders. they provide therapy and support to improve communication and enhance quality of life.,"['api', 'communication']",speech therapist adult speech therapists work with adults to address speech and language disorders. they provide therapy and support to improve communication and enhance quality of life.
front-end developer,a ui/ux developer combines design and technical skills to create user-friendly interfaces for digital products. they ensure a seamless and visually appealing user experience.,"['git', 'ui', 'ux']",front-end developer a ui/ux developer combines design and technical skills to create user-friendly interfaces for digital products. they ensure a seamless and visually appealing user experience.
account director,"account strategists work in advertising or marketing agencies, managing client accounts. they develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",['ui'],"account director account strategists work in advertising or marketing agencies, managing client accounts. they develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions."
aerospace engineer,"avionics engineers focus on aircraft electronic systems. they design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations.",['communication'],"aerospace engineer avionics engineers focus on aircraft electronic systems. they design and maintain avionics systems such as communication, navigation, and instrumentation for safe flight operations."
legal advisor,"as a corporate counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. you will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. your role includes managing legal relationships with external partners and providing strategic legal guidance to the company.",['ui'],"legal advisor as a corporate counsel, you will focus on legal matters related to corporate governance, mergers and acquisitions, and corporate compliance. you will draft and review corporate documents, oversee compliance programs, and handle complex legal negotiations. your role includes managing legal relationships with external partners and providing strategic legal guidance to the company."
account manager,"build and maintain strong client relationships, understand their needs, and ensure client satisfaction.",['ui'],"account manager build and maintain strong client relationships, understand their needs, and ensure client satisfaction."
sales representative,"inside sales representatives are responsible for selling products or services to customers over the phone or through online channels. they engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","['ui', 'communication']","sales representative inside sales representatives are responsible for selling products or services to customers over the phone or through online channels. they engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets."
marketing director,"digital marketing directors lead digital marketing efforts. they develop and execute digital strategies, oversee campaigns, and measure performance to achieve marketing goals.",['git'],"marketing director digital marketing directors lead digital marketing efforts. they develop and execute digital strategies, oversee campaigns, and measure performance to achieve marketing goals."
network technician,"network security specialists focus on network security. they implement security measures, monitor for threats, and respond to security incidents to protect network integrity.",['network security'],"network technician network security specialists focus on network security. they implement security measures, monitor for threats, and respond to security incidents to protect network integrity."
financial planner,"assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations.",['aws'],"financial planner assist clients with tax planning, minimize tax liabilities, and stay up-to-date with tax laws and regulations."
pharmaceutical sales representative,"sales representatives promote and sell products or services to customers, build relationships, and meet sales targets through effective communication and negotiation.","['ui', 'communication']","pharmaceutical sales representative sales representatives promote and sell products or services to customers, build relationships, and meet sales targets through effective communication and negotiation."
office manager,"facilities managers manage facilities and building operations. they oversee maintenance, security, and facility improvements to provide a safe and efficient working environment.",['ui'],"office manager facilities managers manage facilities and building operations. they oversee maintenance, security, and facility improvements to provide a safe and efficient working environment."
procurement coordinator,"purchasing coordinators manage procurement processes. they source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.",['ui'],"procurement coordinator purchasing coordinators manage procurement processes. they source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions."
legal counsel,"corporate attorneys provide legal counsel and representation to organizations. they handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business.","['aws', 'ui']","legal counsel corporate attorneys provide legal counsel and representation to organizations. they handle legal matters, contracts, mergers, acquisitions, and ensure compliance with laws and regulations relevant to the business."
graphic designer,"ui/ux designers focus on creating user-friendly and visually appealing interfaces for digital products. they conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience.","['git', 'ui', 'ux']","graphic designer ui/ux designers focus on creating user-friendly and visually appealing interfaces for digital products. they conduct user research, design wireframes and prototypes, and collaborate with development teams to ensure a seamless and enjoyable user experience."
front-end engineer,"javascript developers write code to create interactive and dynamic web applications. they use javascript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","['java', 'javascript', 'ui']","front-end engineer javascript developers write code to create interactive and dynamic web applications. they use javascript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design."
architectural designer,architectural drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. they use computer-aided design (cad) software to produce accurate and precise architectural drawings.,['ui'],architectural designer architectural drafters assist architects and engineers in creating detailed technical drawings and plans for buildings and structures. they use computer-aided design (cad) software to produce accurate and precise architectural drawings.
occupational therapist,a pediatric occupational therapist helps children with developmental or physical challenges improve their motor and life skills through therapy interventions.,['api'],occupational therapist a pediatric occupational therapist helps children with developmental or physical challenges improve their motor and life skills through therapy interventions.
investment analyst,a risk analyst assesses and manages financial risks within an organization. they use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,['data analysis'],investment analyst a risk analyst assesses and manages financial risks within an organization. they use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.
speech therapist,pediatric speech therapists provide speech therapy to children with speech and language disorders. they assess and treat communication difficulties to improve language skills.,"['api', 'communication']",speech therapist pediatric speech therapists provide speech therapy to children with speech and language disorders. they assess and treat communication difficulties to improve language skills.
account manager,"a sales account manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.",['ui'],"account manager a sales account manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets."
network engineer,"network security engineers focus on protecting network systems from cyber threats. they implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data.",['network security'],"network engineer network security engineers focus on protecting network systems from cyber threats. they implement security measures, monitor network traffic, and respond to security incidents to safeguard the organizations data."
veterinarian,"an equine veterinarian specializes in the health and well-being of horses. they diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses.",['ui'],"veterinarian an equine veterinarian specializes in the health and well-being of horses. they diagnose and treat equine illnesses, perform surgeries, and provide preventive care for horses."
tax consultant,a personal tax consultant provides tax planning and preparation services to individuals. they help clients optimize their tax situations while ensuring compliance with tax laws.,['aws'],tax consultant a personal tax consultant provides tax planning and preparation services to individuals. they help clients optimize their tax situations while ensuring compliance with tax laws.
substance abuse counselor,"a recovery coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life.",['ui'],"substance abuse counselor a recovery coach offers guidance and support to individuals in addiction recovery, aiding in their journey toward sobriety and helping them build a stable and fulfilling life."
civil engineer,"a structural engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. they ensure safety and compliance with engineering standards.",['ui'],"civil engineer a structural engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. they ensure safety and compliance with engineering standards."
network security specialist,"a security consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. they conduct risk assessments, implement security measures, and provide guidance on security policies and procedures.",['ui'],"network security specialist a security consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. they conduct risk assessments, implement security measures, and provide guidance on security policies and procedures."
office manager,"office coordinators provide administrative support within an office. they assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations.",['communication'],"office manager office coordinators provide administrative support within an office. they assist with tasks like scheduling, record-keeping, and communication to ensure efficient office operations."
research analyst,a data analyst researcher conducts research and analysis using data to support academic or scientific inquiries. they contribute to research projects and publish findings.,['ui'],research analyst a data analyst researcher conducts research and analysis using data to support academic or scientific inquiries. they contribute to research projects and publish findings.
database administrator,"a database analyst examines and interprets data stored in databases. they generate reports, identify trends, and provide insights to support business decision-making.",['database'],"database administrator a database analyst examines and interprets data stored in databases. they generate reports, identify trends, and provide insights to support business decision-making."
java developer,"java web application developers create web applications using java technologies. they develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.",['java'],"java developer java web application developers create web applications using java technologies. they develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience."
data scientist,"machine learning engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment.",['machine learning'],"data scientist machine learning engineers develop machine learning models and algorithms, working on tasks like data preprocessing, model training, and deployment."
public relations specialist,"crisis communication managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times.",['communication'],"public relations specialist crisis communication managers develop strategies to manage and respond to crises, maintaining the organizations reputation during challenging times."
marketing manager,"digital marketing managers lead digital marketing efforts, including seo, sem, social media, email marketing, and content strategy. they develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales.",['git'],"marketing manager digital marketing managers lead digital marketing efforts, including seo, sem, social media, email marketing, and content strategy. they develop and execute digital marketing campaigns to increase brand awareness, drive traffic, and generate leads or sales."
art teacher,"a fine arts instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity.",['ui'],"art teacher a fine arts instructor teaches various forms of fine arts, such as painting, sculpture, or drawing, to students, guiding them in developing their artistic skills and creativity."
family lawyer,mediators facilitate negotiations and dispute resolution between parties in conflict. they remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.,['communication'],family lawyer mediators facilitate negotiations and dispute resolution between parties in conflict. they remain neutral and help parties reach mutually acceptable agreements through effective communication and problem-solving techniques.
ui developer,a ux/ui designer focuses on enhancing user experiences by designing intuitive interfaces. they consider user needs and preferences to create visually appealing and functional designs.,"['ui', 'ux']",ui developer a ux/ui designer focuses on enhancing user experiences by designing intuitive interfaces. they consider user needs and preferences to create visually appealing and functional designs.
teacher,a subject matter expert possesses deep knowledge in a specific field and provides expertise to solve complex problems or guide decision-making within that domain.,['ui'],teacher a subject matter expert possesses deep knowledge in a specific field and provides expertise to solve complex problems or guide decision-making within that domain.
occupational therapist,a mental health occupational therapist assists individuals with mental health conditions in improving their daily functioning and coping skills through therapy and interventions.,['api'],occupational therapist a mental health occupational therapist assists individuals with mental health conditions in improving their daily functioning and coping skills through therapy and interventions.
java developer,"java software engineers develop and maintain software applications using the java programming language. they write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.",['java'],"java developer java software engineers develop and maintain software applications using the java programming language. they write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions."
art teacher,"a studio art teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development.",['ui'],"art teacher a studio art teacher instructs students in studio art practices, providing hands-on guidance in creating art and fostering artistic expression and skill development."
procurement specialist,"procurement coordinators assist in procurement activities, including vendor communication, purchase order processing, and inventory management.",['communication'],"procurement specialist procurement coordinators assist in procurement activities, including vendor communication, purchase order processing, and inventory management."
customer success manager,a customer support specialist assists customers with inquiries or issues related to a companys products or services. they provide solutions and maintain customer satisfaction.,['ui'],customer success manager a customer support specialist assists customers with inquiries or issues related to a companys products or services. they provide solutions and maintain customer satisfaction.
customer service representative,"a live chat support agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions.",['ui'],"customer service representative a live chat support agent provides customer support through live chat channels, addressing inquiries, troubleshooting issues, and offering timely solutions."
network administrator,"design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.",['computer networks'],"network administrator design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security."
business analyst,"it business analysts bridge the gap between business needs and technology solutions. they analyze business processes, gather requirements, and create solutions that align with organizational goals.",['ui'],"business analyst it business analysts bridge the gap between business needs and technology solutions. they analyze business processes, gather requirements, and create solutions that align with organizational goals."
sales representative,"outside sales representatives meet with potential customers in person to sell products or services. they build relationships, identify sales opportunities, and provide product information and solutions to meet the needs of clients and achieve sales goals.",['ui'],"sales representative outside sales representatives meet with potential customers in person to sell products or services. they build relationships, identify sales opportunities, and provide product information and solutions to meet the needs of clients and achieve sales goals."
customer support specialist,"technical support specialists assist customers or end-users with technical issues related to products or services. they provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction.","['ui', 'communication']","customer support specialist technical support specialists assist customers or end-users with technical issues related to products or services. they provide troubleshooting, resolve problems, and offer technical guidance through various communication channels, ensuring customer satisfaction."
ux/ui designer,"user experience designers create intuitive and user-friendly digital interfaces. they conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","['git', 'ui']","ux/ui designer user experience designers create intuitive and user-friendly digital interfaces. they conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications."
network security specialist,"cybersecurity analysts protect computer systems and networks from cyber threats. they monitor security systems, investigate breaches, and implement security measures to safeguard data.",['cybersecurity'],"network security specialist cybersecurity analysts protect computer systems and networks from cyber threats. they monitor security systems, investigate breaches, and implement security measures to safeguard data."
accountant,"tax accountants specialize in tax-related matters. they prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. they stay updated on tax codes and advise organizations on tax strategies.",['aws'],"accountant tax accountants specialize in tax-related matters. they prepare tax returns, assist with tax planning, and ensure compliance with tax laws and regulations. they stay updated on tax codes and advise organizations on tax strategies."
hr coordinator,"benefits coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. they assist employees with benefit inquiries and ensure compliance with benefit policies.",['ui'],"hr coordinator benefits coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. they assist employees with benefit inquiries and ensure compliance with benefit policies."
ux/ui designer,interaction designers specialize in designing user interactions within digital interfaces. they create meaningful and engaging user experiences by considering user behaviors and system responses.,['git'],ux/ui designer interaction designers specialize in designing user interactions within digital interfaces. they create meaningful and engaging user experiences by considering user behaviors and system responses.
front-end engineer,"ui/ux front-end developers focus on creating user-friendly and visually appealing interfaces for web and mobile applications. they work on user experience design, responsive layouts, and front-end development to optimize user interactions.","['ui', 'ux']","front-end engineer ui/ux front-end developers focus on creating user-friendly and visually appealing interfaces for web and mobile applications. they work on user experience design, responsive layouts, and front-end development to optimize user interactions."
account executive,a key account executive manages strategic accounts for a company. they build strong client relationships and work to expand business opportunities within these key accounts.,['ui'],account executive a key account executive manages strategic accounts for a company. they build strong client relationships and work to expand business opportunities within these key accounts.
network administrator,"protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",['computer networks'],"network administrator protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents."
java developer,"java backend developers specialize in building the server-side components of software applications using java. they work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","['java', 'database', 'ui']","java developer java backend developers specialize in building the server-side components of software applications using java. they work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality."
ux researcher,evaluate and improve the usability of websites and applications through user testing and analysis.,['testing'],ux researcher evaluate and improve the usability of websites and applications through user testing and analysis.
human resources manager,"hr generalists handle various hr functions, including recruitment, employee relations, benefits administration, and hr compliance. they serve as a resource for employees and management, ensuring hr policies and practices align with organizational goals and legal requirements.",['ui'],"human resources manager hr generalists handle various hr functions, including recruitment, employee relations, benefits administration, and hr compliance. they serve as a resource for employees and management, ensuring hr policies and practices align with organizational goals and legal requirements."
systems engineer,"as a cloud systems engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. you will work with cloud platforms like aws, azure, or gcp to build scalable and reliable systems. your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","['aws', 'ui']","systems engineer as a cloud systems engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. you will work with cloud platforms like aws, azure, or gcp to build scalable and reliable systems. your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance."
account director,"business development directors lead efforts to identify and pursue new business opportunities. they develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals.",['ui'],"account director business development directors lead efforts to identify and pursue new business opportunities. they develop growth strategies, build relationships with clients, and oversee business development teams to achieve revenue and expansion goals."
mechanical engineer,"hvac engineers specialize in heating, ventilation, and air conditioning systems, designing efficient hvac solutions for buildings and facilities.",['ui'],"mechanical engineer hvac engineers specialize in heating, ventilation, and air conditioning systems, designing efficient hvac solutions for buildings and facilities."
database developer,"sql database developers design, implement, and maintain relational databases using sql (structured query language). they write queries, optimize database performance, and ensure data integrity and security.","['sql', 'database']","database developer sql database developers design, implement, and maintain relational databases using sql (structured query language). they write queries, optimize database performance, and ensure data integrity and security."
paralegal,"provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records.",['ui'],"paralegal provide legal support to corporate legal teams, assist with mergers and acquisitions, and manage corporate records."
business development manager,"a sales manager leads and guides the sales team, sets sales targets, develops sales strategies, and monitors performance to achieve revenue and growth objectives.",['ui'],"business development manager a sales manager leads and guides the sales team, sets sales targets, develops sales strategies, and monitors performance to achieve revenue and growth objectives."
speech therapist,"speech pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. they develop personalized treatment plans to improve communication.",['communication'],"speech therapist speech pathologists diagnose and treat speech, language, and swallowing disorders in patients of all ages. they develop personalized treatment plans to improve communication."
mechanical designer,"design and optimize heating, ventilation, and air conditioning (hvac) systems for buildings, focusing on energy efficiency and comfort.",['ui'],"mechanical designer design and optimize heating, ventilation, and air conditioning (hvac) systems for buildings, focusing on energy efficiency and comfort."
hr manager,"an hr compliance specialist ensures adherence to employment laws and regulations, conducts audits, and provides guidance to maintain legal compliance within the organization.","['aws', 'ui']","hr manager an hr compliance specialist ensures adherence to employment laws and regulations, conducts audits, and provides guidance to maintain legal compliance within the organization."
finance manager,"treasury managers manage a companys treasury operations. they oversee cash management, investments, and financial risk management to maintain liquidity and financial stability.",['ui'],"finance manager treasury managers manage a companys treasury operations. they oversee cash management, investments, and financial risk management to maintain liquidity and financial stability."
